year,manemp_thousands,payems_thousands,mfg_share_pct,indpro_index,outms_index,awhman_hours,mfg_wage_usd,pvt_wage_usd,mfg_wage_premium_pct,robot_stock_thousands,robots_per_thousand_workers
1990,17395.0,109168.0,15.93,62.4,66.36,40.49,,,,35.0,2.012
1991,16917.0,108330.0,15.62,61.42,65.16,40.38,,,,36.67,2.167
1992,16770.0,109502.0,15.31,63.18,67.78,40.78,,,,38.33,2.286
1993,16815.0,112325.0,14.97,65.26,70.28,41.16,,,,40.0,2.379
1994,17218.0,116174.0,14.82,68.7,74.24,41.65,,,,48.57,2.821
1995,17231.0,118325.0,14.56,71.94,77.46,41.27,,,,57.14,3.316
1996,17284.0,121143.0,14.27,75.25,80.47,41.27,,,,65.71,3.802
1997,17587.0,124549.0,14.12,80.74,86.1,41.71,,,,74.29,4.224
1998,17449.0,127595.0,13.68,85.48,90.19,41.47,,,,82.86,4.749
1999,17279.0,130783.0,13.21,89.32,94.01,41.38,,,,91.43,5.291
2000,17181.0,132716.0,12.95,92.51,96.54,41.23,,,,100.0,5.82
2001,15712.0,130983.0,12.0,89.75,91.93,40.35,,,,108.57,6.91
2002,14911.0,130465.0,11.43,90.02,92.84,40.45,,,,117.14,7.856
2003,14299.0,130589.0,10.95,91.26,94.04,40.38,,,,125.71,8.792
2004,14285.0,132630.0,10.77,93.6,96.38,40.78,,,,134.29,9.4
2005,14189.0,135159.0,10.5,96.74,100.15,40.62,,,,142.86,10.068
2006,14009.0,137249.0,10.21,99.0,101.8,41.12,20.96,20.31,3.2,151.43,10.809
2007,13739.0,138395.0,9.93,101.57,104.77,41.21,21.5,20.91,2.83,160.0,11.646
2008,12842.0,134847.0,9.52,98.12,100.0,40.79,22.16,21.57,2.74,169.55,13.202
2009,11465.0,129808.0,8.83,86.9,87.59,39.85,23.04,22.17,3.91,179.09,15.621
2010,11579.0,130830.0,8.85,91.74,93.71,41.12,23.31,22.58,3.26,188.64,16.291
2011,11783.0,132888.0,8.87,94.64,96.43,41.41,23.68,23.03,2.81,198.18,16.819
2012,11939.0,135074.0,8.84,97.54,97.54,41.63,23.9,23.47,1.83,207.73,17.399
2013,12060.0,137372.0,8.78,99.48,99.62,41.83,24.33,23.96,1.55,217.27,18.016
2014,12266.0,140364.0,8.74,102.45,100.99,41.98,24.79,24.46,1.36,226.82,18.492
2015,12333.0,143077.0,8.62,100.97,100.02,41.82,25.23,25.01,0.88,236.36,19.165
2016,12324.0,145408.0,8.48,98.8,99.91,41.88,25.98,25.65,1.27,245.91,19.954
2017,12501.0,147523.0,8.47,100.0,100.0,41.93,26.56,26.31,0.97,255.45,20.435
2018,12761.0,149809.0,8.52,103.16,101.98,42.12,27.02,27.1,-0.31,265.0,20.766
2019,12760.0,151794.0,8.41,102.35,99.78,41.58,27.68,28.0,-1.15,293.0,22.962
2020,12153.0,142548.0,8.53,95.09,92.4,40.73,28.75,29.36,-2.07,300.0,24.685
