observation_date,OUTMS
1990-01-01,66.368
1990-04-01,66.668
1990-07-01,66.765
1990-10-01,65.627
1991-01-01,64.191
1991-04-01,64.562
1991-07-01,65.795
1991-10-01,66.076
1992-01-01,66.199
1992-04-01,67.601
1992-07-01,68.365
1992-10-01,68.943
1993-01-01,69.733
1993-04-01,69.961
1993-07-01,70.105
1993-10-01,71.321
1994-01-01,72.088
1994-04-01,73.711
1994-07-01,74.734
1994-10-01,76.431
1995-01-01,77.104
1995-04-01,77.060
1995-07-01,77.512
1995-10-01,78.152
1996-01-01,78.309
1996-04-01,79.991
1996-07-01,81.314
1996-10-01,82.273
1997-01-01,83.852
1997-04-01,84.989
1997-07-01,86.784
1997-10-01,88.763
1998-01-01,89.626
1998-04-01,89.591
1998-07-01,90.004
1998-10-01,91.554
1999-01-01,92.689
1999-04-01,93.599
1999-07-01,94.085
1999-10-01,95.674
2000-01-01,96.402
2000-04-01,97.211
2000-07-01,96.753
2000-10-01,95.775
2001-01-01,94.080
2001-04-01,92.535
2001-07-01,90.959
2001-10-01,90.133
2002-01-01,91.305
2002-04-01,92.854
2002-07-01,93.653
2002-10-01,93.557
2003-01-01,93.955
2003-04-01,93.411
2003-07-01,93.962
2003-10-01,94.836
2004-01-01,95.229
2004-04-01,95.777
2004-07-01,96.566
2004-10-01,97.960
2005-01-01,99.567
2005-04-01,100.130
2005-07-01,99.808
2005-10-01,101.095
2006-01-01,101.681
2006-04-01,101.558
2006-07-01,101.805
2006-10-01,102.152
2007-01-01,103.389
2007-04-01,104.910
2007-07-01,105.198
2007-10-01,105.563
2008-01-01,104.731
2008-04-01,102.638
2008-07-01,99.159
2008-10-01,93.464
2009-01-01,87.576
2009-04-01,85.585
2009-07-01,87.707
2009-10-01,89.497
2010-01-01,91.256
2010-04-01,93.669
2010-07-01,94.732
2010-10-01,95.191
2011-01-01,96.066
2011-04-01,95.929
2011-07-01,96.662
2011-10-01,97.063
2012-01-01,97.680
2012-04-01,97.524
2012-07-01,97.233
2012-10-01,97.739
2013-01-01,99.003
2013-04-01,99.470
2013-07-01,99.706
2013-10-01,100.297
2014-01-01,100.016
2014-04-01,101.146
2014-07-01,101.425
2014-10-01,101.381
2015-01-01,100.230
2015-04-01,99.958
2015-07-01,100.201
2015-10-01,99.703
2016-01-01,99.970
2016-04-01,99.937
2016-07-01,99.921
2016-10-01,99.796
2017-01-01,99.447
2017-04-01,100.156
2017-07-01,99.635
2017-10-01,100.762
2018-01-01,101.125
2018-04-01,102.013
2018-07-01,102.552
2018-10-01,102.238
2019-01-01,100.952
2019-04-01,99.951
2019-07-01,99.491
2019-10-01,98.706
2020-01-01,96.924
2020-04-01,83.932
2020-07-01,93.446
2020-10-01,95.281
